"AnyMaze_Test";"Animal";"Task";"Type";"Sampling";"Retention";"Apperatus";"Date";"Entry";"Time";"Familiar_Object";"Unfamiliar_Object";"Familiar_Position";"Unfamiliar_Position";"Retention_Check";"Notes";"Cum_dist_min_1";"Cum_dist_min_2";"Cum_dist_min_3";"Cum_dist_min_4";"Cum_dist_min_5";"Bin_dist_min_1";"Bin_dist_min_2";"Bin_dist_min_3";"Bin_dist_min_4";"Bin_dist_min_5";"Cum_velo_min_1";"Cum_velo_min_2";"Cum_velo_min_3";"Cum_velo_min_4";"Cum_velo_min_5";"Bin_velo_min_1";"Bin_velo_min_2";"Bin_velo_min_3";"Bin_velo_min_4";"Bin_velo_min_5";"Cum_BaLe_exp_1";"Cum_BaLe_exp_2";"Cum_BaLe_exp_3";"Cum_BaLe_exp_4";"Cum_BaLe_exp_5";"Bin_BaLe_exp_1";"Bin_BaLe_exp_2";"Bin_BaLe_exp_3";"Bin_BaLe_exp_4";"Bin_BaLe_exp_5";"BaLe_exp_Latency";"Cum_FrRi_exp_1";"Cum_FrRi_exp_2";"Cum_FrRi_exp_3";"Cum_FrRi_exp_4";"Cum_FrRi_exp_5";"Bin_FrRi_exp_1";"Bin_FrRi_exp_2";"Bin_FrRi_exp_3";"Bin_FrRi_exp_4";"Bin_FrRi_exp_5";"FrRi_exp_Latency";"Cum_BaLe_tim_1";"Cum_BaLe_tim_2";"Cum_BaLe_tim_3";"Cum_BaLe_tim_4";"Cum_BaLe_tim_5";"Bin_BaLe_tim_1";"Bin_BaLe_tim_2";"Bin_BaLe_tim_3";"Bin_BaLe_tim_4";"Bin_BaLe_tim_5";"Cum_BaRi_tim_1";"Cum_BaRi_tim_2";"Cum_BaRi_tim_3";"Cum_BaRi_tim_4";"Cum_BaRi_tim_5";"Bin_BaRi_tim_1";"Bin_BaRi_tim_2";"Bin_BaRi_tim_3";"Bin_BaRi_tim_4";"Bin_BaRi_tim_5";"Cum_FrLe_tim_1";"Cum_FrLe_tim_2";"Cum_FrLe_tim_3";"Cum_FrLe_tim_4";"Cum_FrLe_tim_5";"Bin_FrLe_tim_1";"Bin_FrLe_tim_2";"Bin_FrLe_tim_3";"Bin_FrLe_tim_4";"Bin_FrLe_tim_5";"Cum_FrRi_tim_1";"Cum_FrRi_tim_2";"Cum_FrRi_tim_3";"Cum_FrRi_tim_4";"Cum_FrRi_tim_5";"Bin_FrRi_tim_1";"Bin_FrRi_tim_2";"Bin_FrRi_tim_3";"Bin_FrRi_tim_4";"Bin_FrRi_tim_5";"Total_exp_time";"Bin_Trgt_exp_min_1";"Bin_Trgt_exp_min_2";"Bin_Trgt_exp_min_3";"Bin_Trgt_exp_min_4";"Bin_Trgt_exp_min_5";"Cum_Trgt_exp_min_1";"Cum_Trgt_exp_min_2";"Cum_Trgt_exp_min_3";"Cum_Trgt_exp_min_4";"Cum_Trgt_exp_min_5";"Bin_Cntl_exp_min_1";"Bin_Cntl_exp_min_2";"Bin_Cntl_exp_min_3";"Bin_Cntl_exp_min_4";"Bin_Cntl_exp_min_5";"Cum_Cntl_exp_min_1";"Cum_Cntl_exp_min_2";"Cum_Cntl_exp_min_3";"Cum_Cntl_exp_min_4";"Cum_Cntl_exp_min_5";"Bin_DiRa_min_1";"Bin_DiRa_min_2";"Bin_DiRa_min_3";"Bin_DiRa_min_4";"Bin_DiRa_min_5";"Cum_DiRa_min_1";"Cum_DiRa_min_2";"Cum_DiRa_min_3";"Cum_DiRa_min_4";"Cum_DiRa_min_5"
1;"Animal3-RD1-Test_OFA";"Schema";"Interference";1;"Sleep";"OFA";"22.12.2022";"F";"12:56";5;5;"LF";"LB";"yes";"";5,605;13,662;15,873;15,873;16,85;5,605;8,058;2,211;0;0,977;0,093;0,114;0,088;0,066;0,056;0,093;0,134;0,037;0;0,016;1,9;1,9;2,4;2,4;2,4;1,9;0;0,6;0;0;3,8;0,8;1,1;1,2;1,2;1,2;0,8;0,3;0,1;0;0;0,7;11,6;15,9;21,2;21,2;21,2;11,6;4,3;5,3;0;0;4,3;14,5;15,4;15,4;15,4;4,3;10,2;0,9;0;0;7,8;27,4;33,9;33,9;34,2;7,8;19,6;6,5;0;0,3;36,3;62,2;109,5;169,5;229,1;36,3;25,8;47,3;60;59,7;3,6;1,9;0;0,6;0;0;1,9;1,9;2,4;2,4;2,4;0,8;0,3;0,1;0;0;0,8;1,1;1,2;1,2;1,2;0,407407407407407;-1;0,714285714285714;NA;NA;0,407407407407407;0,266666666666667;0,333333333333333;0,333333333333333;0,333333333333333
2;"Animal4-DRD-Test_OFA";"Schema";"Interference";1;"Sleep";"OFA";"14.02.2023";"F";"13:07";5;5;"RF";"LB";"yes";"";8,52;14,277;17,973;19,228;19,887;8,52;5,757;3,696;1,255;0,659;0,142;0,119;0,1;0,08;0,066;0,142;0,096;0,062;0,021;0,011;1,3;1,7;1,7;1,7;1,7;1,3;0,5;0;0;0;8,4;0,9;1,5;1,6;1,6;1,6;0,9;0,6;0,1;0;0;19,3;20,9;29,9;29,9;29,9;29,9;20,9;9;0;0;0;9,8;12,2;15,1;15,1;15,1;9,8;2,4;2,9;0;0;15,7;32,6;51,6;51,6;56,1;15,7;16,9;19,1;0;4,4;13,6;45,3;83,4;143,4;199;13,6;31,7;38;60;55,6;3,3;1,3;0,5;0;0;0;1,3;1,7;1,7;1,7;1,7;0,9;0,6;0,1;0;0;0,9;1,5;1,6;1,6;1,6;0,181818181818182;-0,0909090909090909;-1;NA;NA;0,181818181818182;0,0625;0,0303030303030303;0,0303030303030303;0,0303030303030303
3;"Animal5-GN2-Test_OFA";"Schema";"Interference";1;"Wake";"OFA";"17.02.2023";"B";"12:54";5;5;"RF";"RB";"yes";"";9,539;18,606;22,66;22,842;24,641;9,539;9,067;4,054;0,182;1,799;0,159;0,155;0,126;0,095;0,082;0,159;0,151;0,068;0,003;0,03;1,3;2,1;2,2;2,2;2,2;1,3;0,9;0,1;0;0;14,3;1,1;1,6;1,6;1,6;1,6;1,1;0,6;0;0;0;5,5;22;33,5;61,5;61,5;61,5;22;11,5;28;0;0;14,7;30,7;37,5;37,5;39,8;14,7;16;6,8;0;2,3;7;19,1;31;31;33,1;7;12,1;12;0;2,1;16,3;36,7;49,9;109,9;165,5;16,3;20,4;13,3;60;55,6;3,8;1,3;0,9;0,1;0;0;1,3;2,1;2,2;2,2;2,2;1,1;0,6;0;0;0;1,1;1,6;1,6;1,6;1,6;0,0833333333333333;0,2;1;NA;NA;0,0833333333333333;0,135135135135135;0,157894736842105;0,157894736842105;0,157894736842105
4;"Animal6-RD2-Test_OFA";"Schema";"Interference";1;"Sleep";"OFA";"28.02.2023";"L";"13:07";5;5;"LB";"RB";"yes";"";8,516;13,57;13,9;17,524;21,544;8,516;5,054;0,33;3,623;4,021;0,142;0,113;0,077;0,073;0,072;0,142;0,084;0,006;0,06;0,067;0,2;0,5;0,5;0,5;0,5;0,2;0,3;0;0;0;6,9;2;2,1;2,1;2,4;2,5;2;0,1;0;0,3;0,1;9,6;8,6;16,8;16,8;31,5;41,8;8,6;8,1;0;14,7;10,3;27,7;32,5;32,5;53,3;65,4;27,7;4,7;0;20,8;12,1;7,7;31,6;31,6;37,7;50,1;7,7;24;0;6,1;12,4;16;39,1;99,1;117,6;142,6;16;23,2;60;18,4;25,1;3;2;0,1;0;0,3;0,1;2;2,1;2,1;2,4;2,5;0,2;0,3;0;0;0;0,2;0,5;0,5;0,5;0,5;0,818181818181818;-0,5;NA;1;1;0,818181818181818;0,615384615384615;0,615384615384615;0,655172413793103;0,666666666666667
5;"Animal7-BE2-Test_OFA";"Schema";"Interference";1;"Wake";"OFA";"03.03.2023";"F";"13:08";5;5;"LB";"LF";"yes";"";7,542;12,82;17,503;22,626;22,626;7,542;5,278;4,683;5,123;0;0,126;0,107;0,097;0,094;0,075;0,126;0,088;0,078;0,085;0;1,6;2,5;2,5;2,7;2,7;1,6;1;0;0,2;0;20,8;0,7;1,2;1,4;2,8;2,8;0,7;0,5;0,3;1,3;0;2,9;17,6;32,1;46,5;53;53;17,6;14,6;14,4;6,5;0;6,1;15,3;39,3;40,5;40,5;6,1;9,2;23,9;1,2;0;26,9;48;66,4;99,6;99,6;26,9;21,1;18,4;33,2;0;9,4;24,5;27,8;46,9;106,9;9,4;15,1;3,3;19,1;60;5,5;0,7;0,5;0,3;1,3;0;0,7;1,2;1,4;2,8;2,8;1,6;1;0;0,2;0;1,6;2,5;2,5;2,7;2,7;-0,391304347826087;-0,333333333333333;1;0,733333333333333;NA;-0,391304347826087;-0,351351351351351;-0,282051282051282;0,0181818181818181;0,0181818181818181
6;"Animal8-RD3-Test_OFA";"Schema";"Interference";1;"Sleep";"OFA";"14.03.2023";"B";"13:00";5;5;"RB";"LB";"yes";"";7,303;12,696;15,842;21,952;24,926;7,303;5,393;3,146;6,11;2,974;0,122;0,106;0,088;0,091;0,083;0,122;0,09;0,052;0,102;0,05;1,2;2,2;2,4;2,4;3;1,2;1;0,2;0;0,6;35,8;1,6;2,5;2,5;3,2;3,6;1,6;0,9;0;0,7;0,3;12,4;12,7;32,4;35,1;56,2;75,7;12,7;19,7;2,7;21,1;19,5;16,3;41;41,3;53,5;64,5;16,3;24,7;0,3;12,2;11;13,9;22,9;74,7;87;116,5;13,9;8,9;51,8;12,3;29,5;17,1;23,8;28,9;43,2;43,2;17,1;6,7;5,2;14,3;0;6,6;1,2;1;0,2;0;0,6;1,2;2,2;2,4;2,4;3;1,6;0,9;0;0,7;0,3;1,6;2,5;2,5;3,2;3,6;-0,142857142857143;0,0526315789473684;1;-1;0,333333333333333;-0,142857142857143;-0,0638297872340425;-0,0204081632653061;-0,142857142857143;-0,0909090909090909
7;"Animal9-BE3-Test_OFA";"Schema";"Interference";1;"Wake";"OFA";"17.03.2023";"R";"13:05";5;5;"LF";"LB";"yes";"";10,381;15,534;18,088;24,816;30,45;10,381;5,152;2,555;6,727;5,634;0,173;0,129;0,1;0,103;0,102;0,173;0,086;0,043;0,112;0,094;2,1;2,7;2,7;3,4;3,5;2,1;0,6;0;0,7;0,1;2,7;0,4;0,4;0,4;1,7;3;0,4;0;0;1,3;1,4;8,5;13,9;29;29;39,6;46,2;13,9;15;0;10,6;6,6;14,8;29,1;45,4;72,1;100,5;14,8;14,3;16,3;26,7;28,4;8,9;10,6;13,9;28,2;41,8;8,9;1,7;3,3;14,3;13,6;22,4;51,4;91,8;100,2;111,5;22,4;29;40,4;8,4;11,3;6,5;2,1;0,6;0;0,7;0,1;2,1;2,7;2,7;3,4;3,5;0,4;0;0;1,3;1,4;0,4;0,4;0,4;1,7;3;0,68;1;NA;-0,3;-0,866666666666667;0,68;0,741935483870968;0,741935483870968;0,333333333333333;0,0769230769230769
8;"Animal10-DRD2-Test_OFA";"Schema";"Interference";1;"Sleep";"OFA";"28.03.2023";"L";"12:59";5;5;"LB";"RB";"yes";"";5,516;9,973;16,156;16,38;17,435;5,516;4,456;6,183;0,224;1,055;0,092;0,083;0,09;0,068;0,058;0,092;0,074;0,103;0,004;0,018;1,4;2,1;2,5;2,5;2,5;1,4;0,7;0,4;0;0;21,5;3,4;6,2;6,4;6,4;6,9;3,4;2,8;0,2;0;0,5;5,4;15,6;32,8;43;43;43;15,6;17,2;10,2;0;0;30,4;67,2;90,3;150,3;210,3;30,4;36,8;23,1;60;60;9,9;12,7;25,1;25,1;25,1;9,9;2,8;12,4;0;0;4,1;7,3;21,6;21,6;21,6;4,1;3,2;14,3;0;0;9,4;3,4;2,8;0,2;0;0,5;3,4;6,2;6,4;6,4;6,9;1,4;0,7;0,4;0;0;1,4;2,1;2,5;2,5;2,5;0,416666666666667;0,6;-0,333333333333333;NA;1;0,416666666666667;0,493975903614458;0,438202247191011;0,438202247191011;0,468085106382979
9;"Animal11-GN3-Test_OFA";"Schema";"Interference";1;"Wake";"OFA";"31.03.2023";"B";"13:04";5;5;"RB";"RF";"yes";"";6,791;12,345;15,376;20,718;26,931;6,791;5,553;3,032;5,341;6,214;0,113;0,103;0,085;0,086;0,09;0,113;0,093;0,051;0,089;0,104;0,4;0,4;0,4;0,4;0,4;0,4;0;0;0;0;10,6;0,6;0,6;1,2;1,8;1,8;0,6;0;0,6;0,6;0;3,5;3,3;16,5;16,5;22,2;42,8;3,3;13,2;0;5,7;20,7;15,4;31,9;37,7;52,7;62,1;15,4;16,5;5,9;15;9,4;11,8;21,8;33,9;36,7;57,9;11,8;10;12,1;2,8;21,2;29,5;49,8;91,9;128,4;137,1;29,5;20,4;42;36,6;8,7;2,2;0,6;0;0,6;0,6;0;0,6;0,6;1,2;1,8;1,8;0,4;0;0;0;0;0,4;0,4;0,4;0,4;0,4;0,2;NA;1;1;NA;0,2;0,2;0,5;0,636363636363636;0,636363636363636
10;"Animal12-GN4-Test_OFA";"Schema";"Interference";1;"Sleep";"OFA";"09.04.2023";"R";"13:03";5;5;"RF";"LF";"yes";"";6,997;13,302;18,012;24,443;29,705;6,997;6,306;4,71;6,431;5,262;0,117;0,111;0,1;0,102;0,099;0,117;0,105;0,078;0,107;0,088;0,6;0,8;0,8;1;1,3;0,6;0,2;0;0,2;0,3;11,6;1,7;1,9;2,1;2,3;2,9;1,7;0,1;0,3;0,2;0,6;3,2;5,7;34,7;34,7;65,4;79,5;5,7;29;0;30,7;14,2;19,1;39,4;74,3;86,8;93,8;19,1;20,3;34,9;12,5;7;6,9;11,1;21,9;29,2;50,1;6,9;4,3;10,8;7,3;20,9;28,3;34,7;49;58,6;76,5;28,3;6,5;14,3;9,6;17,9;4,2;0,6;0,2;0;0,2;0,3;0,6;0,8;0,8;1;1,3;1,7;0,1;0,3;0,2;0,6;1,7;1,9;2,1;2,3;2,9;-0,478260869565217;0,333333333333333;-1;0;-0,333333333333333;-0,478260869565217;-0,407407407407407;-0,448275862068965;-0,393939393939394;-0,380952380952381
11;"Animal13-DRD3-Test_OFA";"Schema";"Interference";1;"Wake";"OFA";"12.04.2023";"L";"13:05";5;5;"LF";"LB";"yes";"";8,71;16,357;19,131;27,922;33,729;8,71;7,647;2,774;8,79;5,808;0,145;0,136;0,106;0,116;0,112;0,145;0,127;0,046;0,147;0,097;1,2;1,4;1,6;2;2;1,2;0,2;0,2;0,4;0;2,2;0,8;0,9;0,9;1,8;2;0,8;0,1;0;0,9;0,1;29,2;25,6;34,3;40,3;53,6;91,4;25,6;8,8;6;13,2;37,8;10,6;25,6;26,5;44;55,2;10,6;15;1;17,5;11,1;16,5;27,1;27,6;46,2;52,2;16,5;10,7;0,5;18,6;6;7,4;33;85,5;96,2;101,3;7,4;25,6;52,5;10,7;5,1;4;1,2;0,2;0,2;0,4;0;1,2;1,4;1,6;2;2;0,8;0,1;0;0,9;0,1;0,8;0,9;0,9;1,8;2;0,2;0,333333333333333;1;-0,384615384615385;-1;0,2;0,217391304347826;0,28;0,0526315789473684;0
12;"Animal14-DB-Test_OFA";"Schema";"Interference";1;"Sleep";"OFA";"29.08.2023";"F";"13:55";5;5;"RF";"RB";"yes";"";3,474;7,252;12,441;16,605;20,181;3,474;3,778;5,189;4,164;3,576;0,058;0,06;0,069;0,069;0,067;0,058;0,063;0,086;0,069;0,06;0;1,1;1,5;1,5;1,5;0;1,1;0,3;0;0;72,9;1,3;2,8;3,2;3,3;3,3;1,3;1,5;0,3;0,1;0;53,2;6,6;6,6;20,5;32,3;41,9;6,6;0;13,9;11,8;9,6;0;9,2;16,4;16,4;28,4;0;9,2;7,2;0;12;29,6;54,7;87,4;114,7;152,7;29,6;25,1;32,7;27,3;38,1;23,9;49,5;55,8;76,6;76,9;23,9;25,7;6,3;20,9;0,3;4,8;0;1,1;0,3;0;0;0;1,1;1,5;1,5;1,5;1,3;1,5;0,3;0,1;0;1,3;2,8;3,2;3,3;3,3;-1;-0,153846153846154;0;-1;NA;-1;-0,435897435897436;-0,361702127659574;-0,375;-0,375
13;"Animal15-RD4-Test_OFA";"Schema";"Interference";1;"Sleep";"OFA";"29.08.2023";"R";"14:10";5;5;"LB";"LF";"yes";"";6,999;10,888;12,074;16,719;20,669;6,999;3,89;1,186;4,645;3,95;0,117;0,091;0,067;0,07;0,069;0,117;0,065;0,02;0,077;0,066;0,6;0,6;0,6;1,4;1,7;0,6;0;0;0,8;0,3;16,3;1,2;1,5;1,5;1,8;2,3;1,2;0,3;0;0,3;0,5;7,4;9,4;16,4;23,6;36,4;50,1;9,4;7;7,3;12,8;13,6;21;50,5;103,2;119,4;142,9;21;29,5;52,7;16,2;23,5;22;39,4;39,4;65,5;79,9;22;17,4;0;26;14,5;7,7;13,7;13,7;18,7;27,1;7,7;6,1;0;5;8,4;4;1,2;0,3;0;0,3;0,5;1,2;1,5;1,5;1,8;2,3;0,6;0;0;0,8;0,3;0,6;0,6;0,6;1,4;1,7;0,333333333333333;1;NA;-0,454545454545455;0,25;0,333333333333333;0,428571428571429;0,428571428571429;0,125;0,15
14;"Animal16-BE4-Test_OFA";"Schema";"Interference";1;"Wake";"OFA";"01.09.2023";"L";"13:50";5;5;"RB";"LB";"yes";"";5,231;11,3;14,022;22,925;28,819;5,231;6,068;2,722;8,903;5,894;0,087;0,094;0,078;0,096;0,096;0,087;0,101;0,045;0,148;0,098;3,2;3,3;3,4;3,9;4,1;3,2;0,1;0,1;0,5;0,2;2,1;0,2;0,8;1,1;1,6;1,6;0,2;0,7;0,2;0,5;0;10,4;39,1;68,9;111,3;130,1;147,9;39,1;29,9;42,4;18,7;17,8;4;22,6;28,8;40,8;54,4;4;18,6;6,2;12;13,5;14,8;21,9;22,5;45,2;72,7;14,8;7,1;0,5;22,8;27,5;2,1;6,5;17,4;23,9;25;2,1;4,4;10,9;6,5;1,1;5,7;3,2;0,1;0,1;0,5;0,2;3,2;3,3;3,4;3,9;4,1;0,2;0,7;0,2;0,5;0;0,2;0,8;1,1;1,6;1,6;0,88235294117647;-0,75;-0,333333333333333;0;1;0,88235294117647;0,609756097560976;0,511111111111111;0,418181818181818;0,43859649122807
15;"Animal17-GE5_-Test_OFA";"Schema";"Interference";1;"Wake";"OFA";"01.09.2023";"B";"14:04";5;5;"LF";"RF";"yes";"";10,917;19,702;28,835;35,176;44,728;10,917;8,784;9,133;6,341;9,551;0,182;0,164;0,16;0,147;0,149;0,182;0,146;0,152;0,106;0,159;1,1;1,6;2,1;2,1;2,2;1,1;0,5;0,4;0;0,1;3,9;1,5;5,8;5,9;6;6,3;1,5;4,3;0,1;0,1;0,3;17,4;14,9;18,9;33;49;61,3;14,9;3,9;14,1;16;12,3;9,9;18,8;40,9;62,3;68,6;9,9;8,9;22,1;21,4;6,3;16,1;21,5;39,6;47,1;67,8;16,1;5,4;18,1;7,5;20,7;19;60,8;66,5;81,6;102,4;19;41,8;5,7;15,1;20,8;8,5;1,5;4,3;0,1;0,1;0,3;1,5;5,8;5,9;6;6,3;1,1;0,5;0,4;0;0,1;1,1;1,6;2,1;2,1;2,2;0,153846153846154;0,791666666666667;-0,6;1;0,5;0,153846153846154;0,567567567567567;0,475;0,481481481481482;0,482352941176471
16;"Animal18-BE5-Test_OFA";"Schema";"Interference";1;"Sleep";"OFA";"14.09.2023";"L";"13:14";5;5;"LB";"RB";"yes";"";6,146;11,423;15,27;16,864;17,31;6,146;5,277;3,847;1,594;0,445;0,102;0,095;0,085;0,07;0,058;0,102;0,088;0,064;0,027;0,007;0,4;0,4;1;1;1;0,4;0;0,5;0;0;22,5;1,4;1,5;1,5;1,6;1,6;1,4;0,1;0;0,1;0;8,8;8;34,4;66,3;73,8;73,8;8;26,4;31,9;7,5;0;39,9;51,4;60;112,5;172,4;39,9;11,5;8,5;52,5;60;3,8;23,4;32,1;32,1;32,1;3,8;19,6;8,7;0;0;8,3;10,9;21,7;21,7;21,7;8,3;2,5;10,8;0;0;2,6;1,4;0,1;0;0,1;0;1,4;1,5;1,5;1,6;1,6;0,4;0;0,5;0;0;0,4;0,4;1;1;1;0,555555555555556;1;-1;1;NA;0,555555555555556;0,578947368421053;0,2;0,230769230769231;0,230769230769231
17;"Animal19-RD5-Test_OFA";"Schema";"Interference";1;"Sleep";"OFA";"14.09.2023";"B";"13:28";5;5;"RF";"LF";"yes";"";12,168;18,719;27,117;31,412;33,922;12,168;6,552;8,397;4,295;2,51;0,203;0,156;0,151;0,131;0,113;0,203;0,109;0,14;0,072;0,042;1,1;1,5;2,3;2,3;2,3;1,1;0,5;0,8;0;0;9,4;0,6;0,9;1,4;3,9;3,9;0,6;0,4;0,4;2,5;0;3,6;11,4;24;36,2;37,8;47,6;11,4;12,6;12,2;1,5;9,8;17,1;35,5;49,4;58,4;81,9;17,1;18,4;14;8,9;23,6;17,6;22,9;44,2;46,6;46,6;17,6;5,3;21,3;2,4;0;13,9;37,6;50,1;97,2;123,9;13,9;23,7;12,5;47,1;26,6;6,2;1,1;0,5;0,8;0;0;1,1;1,5;2,3;2,3;2,3;0,6;0,4;0,4;2,5;0;0,6;0,9;1,4;3,9;3,9;0,294117647058824;0,111111111111111;0,333333333333333;-1;NA;0,294117647058824;0,25;0,243243243243243;-0,258064516129032;-0,258064516129032
18;"Animal20-DB2-Test_OFA";"Schema";"Interference";1;"Wake";"OFA";"18.09.2023";"R";"13:08";5;5;"LF";"LB";"yes";"";8,152;16,851;24,12;29,534;35,039;8,152;8,699;7,27;5,413;5,505;0,136;0,14;0,134;0,123;0,117;0,136;0,145;0,121;0,09;0,092;0,4;0,6;0,7;0,8;0,9;0,4;0,1;0,1;0,1;0,1;27,3;0,7;1,6;1,9;2;2;0,7;1;0,2;0,2;0;4,3;12,2;32;50,6;55,6;68,7;12,2;19,8;18,6;5;13,1;17,9;30;40,7;64,1;80,5;17,9;12;10,8;23,4;16,4;13,7;35,9;56,4;71,2;92,1;13,7;22,2;20,6;14,7;20,9;16,3;22,2;32,3;49,1;58,7;16,3;5,9;10,1;16,9;9,6;2,9;0,4;0,1;0,1;0,1;0,1;0,4;0,6;0,7;0,8;0,9;0,7;1;0,2;0,2;0;0,7;1,6;1,9;2;2;-0,272727272727273;-0,818181818181818;-0,333333333333333;-0,333333333333333;1;-0,272727272727273;-0,454545454545455;-0,461538461538462;-0,428571428571429;-0,379310344827586
