"AnyMaze_Test";"Animal";"Task";"Type";"Sampling";"Retention";"Apperatus";"Date";"Entry";"Time";"Familiar_Object";"Unfamiliar_Object";"Column3";"Column4";"Column2";"Column1";"Cum_dist_min_1";"Cum_dist_min_2";"Cum_dist_min_3";"Cum_dist_min_4";"Cum_dist_min_5";"Bin_dist_min_1";"Bin_dist_min_2";"Bin_dist_min_3";"Bin_dist_min_4";"Bin_dist_min_5";"Cum_velo_min_1";"Cum_velo_min_2";"Cum_velo_min_3";"Cum_velo_min_4";"Cum_velo_min_5";"Bin_velo_min_1";"Bin_velo_min_2";"Bin_velo_min_3";"Bin_velo_min_4";"Bin_velo_min_5";"Cum_groom_exp_1";"Cum_groom_exp_2";"Cum_groom_exp_3";"Cum_groom_exp_4";"Cum_groom_exp_5";"Bin_groom_exp_1";"Bin_groom_exp_2";"Bin_groom_exp_3";"Bin_groom_exp_4";"Bin_groom_exp_5";"groom_exp_Latency";"Cum_rear_exp_1";"Cum_rear_exp_2";"Cum_rear_exp_3";"Cum_rear_exp_4";"Cum_rear_exp_5";"Bin_rear_exp_1";"Bin_rear_exp_2";"Bin_rear_exp_3";"Bin_rear_exp_4";"Bin_rear_exp_5";"rear_exp_Latency";"Cum_BaLe_tim_1";"Cum_BaLe_tim_2";"Cum_BaLe_tim_3";"Cum_BaLe_tim_4";"Cum_BaLe_tim_5";"Bin_BaLe_tim_1";"Bin_BaLe_tim_2";"Bin_BaLe_tim_3";"Bin_BaLe_tim_4";"Bin_BaLe_tim_5";"Cum_BaRi_tim_1";"Cum_BaRi_tim_2";"Cum_BaRi_tim_3";"Cum_BaRi_tim_4";"Cum_BaRi_tim_5";"Bin_BaRi_tim_1";"Bin_BaRi_tim_2";"Bin_BaRi_tim_3";"Bin_BaRi_tim_4";"Bin_BaRi_tim_5";"Cum_FrLe_tim_1";"Cum_FrLe_tim_2";"Cum_FrLe_tim_3";"Cum_FrLe_tim_4";"Cum_FrLe_tim_5";"Bin_FrLe_tim_1";"Bin_FrLe_tim_2";"Bin_FrLe_tim_3";"Bin_FrLe_tim_4";"Bin_FrLe_tim_5";"Cum_FrRi_tim_1";"Cum_FrRi_tim_2";"Cum_FrRi_tim_3";"Cum_FrRi_tim_4";"Cum_FrRi_tim_5";"Bin_FrRi_tim_1";"Bin_FrRi_tim_2";"Bin_FrRi_tim_3";"Bin_FrRi_tim_4";"Bin_FrRi_tim_5"
1;"Animal24-BE6-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"12.04.2024";"F";"1:22:00 PM";5;5;NA;NA;NA;NA;7,025;12,908;21,601;29,842;36,813;7,025;5,883;8,693;8,241;6,972;0,117;0,108;0,12;0,124;0,123;0,117;0,098;0,145;0,137;0,116;10,7;20,7;20,7;34,8;34,8;10,7;10;0;14,1;0;34,2;4,6;14;25,1;40,4;64;4,6;9,4;11,1;15,3;23,7;10,3;3,7;13,2;28,9;34,5;41,2;3,7;9,4;15,7;5,6;6,7;20,5;46,5;75,3;85,9;107,6;20,5;26;28,8;10,6;21,7;29,6;51;55,1;89,2;111,2;29,6;21,4;4;34,2;22;6,2;9,3;20,7;30,4;40;6,2;3,1;11,5;9,6;9,7
2;"Animal25-DRD3-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"12.04.2024";"R";"1:35:00 PM";5;5;NA;NA;NA;NA;10,071;17,65;28,698;39,658;45,851;10,071;7,579;11,048;10,96;6,193;0,168;0,147;0,159;0,165;0,153;0,168;0,126;0,184;0,183;0,103;0,5;8,4;21,1;21,3;31,3;0,5;7,9;12,7;0,2;10;42,6;14,8;29,1;46,1;70,2;92;14,8;14,3;17;24,1;21,8;1,7;5,3;8,8;15,6;25,2;27,7;5,3;3,5;6,8;9,6;2,5;12,7;37,6;60;77,8;118,4;12,7;24,9;22,4;17,8;40,6;20;35,8;53,3;72,6;74,5;20;15,8;17,4;19,4;1,9;22;37,8;51,2;64,4;79,4;22;15,8;13,4;13,2;15
3;"Animal26-GN8-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"19.04.2024";"F";"1:22:00 PM";5;5;NA;NA;NA;NA;5,928;10,631;17,192;24,353;30,497;5,928;4,703;6,56;7,161;6,144;0,099;0,089;0,096;0,101;0,102;0,099;0,078;0,109;0,119;0,102;2,8;9,2;12,2;14,3;14,3;2,8;6,4;3;2,1;0;57,2;14,2;27,5;38,7;52;70,8;14,2;13,3;11,2;13,3;18,8;2,9;9;19,1;42;62,8;86,4;9;10,2;22,8;20,9;23,6;2,5;7,3;13;14,8;18;2,5;4,9;5,7;1,8;3,2;22,3;39,3;58,6;78,6;110;22,3;17;19,3;19,9;31,4;26,2;54,2;66,4;83,8;85,6;26,2;28;12,2;17,4;1,8
4;"Animal27-RD6-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"19.04.2024";"B";"1:35:00 PM";5;5;NA;NA;NA;NA;7,306;13,036;18,857;24,781;28,771;7,306;5,73;5,821;5,924;3,99;0,122;0,109;0,105;0,103;0,096;0,122;0,095;0,097;0,099;0,067;4,2;20;20;20;24;4,2;15,9;0;0;4;27,6;17,5;29,7;49,6;68,3;86,4;17,5;12,2;19,9;18,7;18;3;6,7;10,6;22;35,9;46,3;6,7;3,9;11,4;13,9;10,3;24,1;38,3;53,8;85,4;100;24,1;14,3;15,4;31,6;14,6;6,1;11,3;25,5;37,2;67,8;6,1;5,2;14,1;11,8;30,5;23,1;59,7;78,7;81,4;86;23,1;36,6;19;2,7;4,5
5;"Animal28-GN9-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"26.04.2024";"F";"1:19:00 PM";5;5;NA;NA;NA;NA;9,207;16,817;24,669;32,567;37,748;9,207;7,61;7,852;7,899;5,181;0,153;0,14;0,137;0,136;0,126;0,153;0,127;0,131;0,132;0,086;0,6;2,5;16,8;16,8;45,9;0,6;1,8;14,3;0;29,1;14,1;17;38,5;57,3;71,3;78,1;17;21,6;18,7;14,1;6,8;3,8;4,2;32,6;43,3;53,9;61,7;4,2;28,4;10,7;10,7;7,8;8,4;22,9;30,7;49,1;50;8,4;14,5;7,8;18,5;0,9;28,6;43,1;79,2;86,8;130,1;28,6;14,5;36,1;7,6;43,4;18,8;21,4;26,9;50,2;58,2;18,8;2,7;5,5;23,3;8
6;"Animal29-DB4-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"26.04.2024";"L";"1:33:00 PM";5;5;NA;NA;NA;NA;8,899;15,066;21,01;26,286;31,373;8,899;6,167;5,944;5,276;5,087;0,148;0,126;0,117;0,11;0,105;0,148;0,103;0,099;0,088;0,085;0;7,7;7,7;7,7;7,7;0;7,7;0;0;0;88;17,1;35,1;59,7;93,9;124,3;17,1;18;24,7;34,1;30,4;2,4;12,5;17,7;38,8;49,1;55,2;12,5;5,2;21,1;10,3;6,1;16,4;21,6;45,1;70,1;83,3;16,4;5,2;23,5;25;13,2;20,5;46,5;52;65,5;75,6;20,5;26;5,5;13,5;10,1;10,7;34,3;44,1;55,3;85,9;10,7;23,6;9,9;11,2;30,6
7;"Animal30-RD7-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"03.05.2024";"R";"1:09:00 PM";5;5;NA;NA;NA;NA;6,805;10,975;14,551;20,972;26,378;6,805;4,17;3,576;6,421;5,406;0,113;0,091;0,081;0,087;0,088;0,113;0,069;0,06;0,107;0,09;2,4;9,5;9,5;9,5;9,5;2,4;7,1;0;0;0;28,4;20,5;40,8;56,6;91,6;117,2;20,5;20,3;15,8;35;25,6;7,2;8;9,1;21,6;26,5;29,1;8;1,1;12,5;4,8;2,7;23,6;29,4;46,4;87,4;108,9;23,6;5,7;17;40,9;21,5;13,9;28,7;59,1;64,6;92,4;13,9;14,8;30,4;5,5;27,8;14,5;52,8;52,8;61,6;69,6;14,5;38,3;0;8,8;8
8;"Animal31-BE7-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"03.05.2024";"L";"1:24:00 PM";5;5;NA;NA;NA;NA;9,181;16,472;26,227;33,493;40,14;9,181;7,291;9,755;7,267;6,647;0,153;0,137;0,146;0,14;0,134;0,153;0,122;0,163;0,121;0,111;2;9,9;9,9;9,9;9,9;2;7,8;0;0;0;38,3;19;44,3;80,5;124,1;167,3;19;25,3;36,2;43,5;43,3;0,1;22,6;44,8;60,6;69,2;72,9;22,6;22,2;15,8;8,7;3,6;13,9;36,1;41,5;83,4;136,3;13,9;22,2;5,5;41,8;52,9;18,6;25;49;49,4;50,8;18,6;6,3;24,1;0,4;1,3;4,9;14,2;28,9;38;40,1;4,9;9,2;14,7;9,1;2,1
9;"Animal32-DRD4-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"10.05.2024";"B";"1:18:00 PM";5;5;NA;NA;NA;NA;9,874;17,78;27,627;36,203;40,761;9,874;7,906;9,847;8,576;4,559;0,165;0,148;0,153;0,151;0,136;0,165;0,132;0,164;0,143;0,076;3,6;6,9;6,9;11,4;37;3,6;3,2;0;4,6;25,5;56,4;20,4;36,1;60,4;81,7;94,1;20,4;15,6;24,3;21,3;12,4;2;15,2;20,3;27,6;46,4;47,9;15,2;5,1;7,2;18,8;1,5;11,8;17,4;25,7;34,7;35,5;11,8;5,6;8,3;9;0,7;18;49,1;80,6;96,2;148,3;18;31,1;31,5;15,6;52,1;15;33,1;46,1;62,7;68,3;15;18,1;13;16,6;5,6
10;"Animal33-BE8-Test_OFA";"Schema";"Schema";1;"Sleep";"OFA";"10.05.2024";"R";"1:32:00 PM";5;5;NA;NA;NA;NA;9,438;17,916;26,982;33,978;40,915;9,438;8,478;9,067;6,996;6,938;0,157;0,149;0,15;0,142;0,136;0,157;0,141;0,151;0,117;0,116;0,9;4,5;4,7;5,3;15,5;0,9;3,6;0,2;0,6;10,2;32;15,1;31;53,1;75,7;97,9;15,1;15,9;22,1;22,6;22,2;2,6;17;42,7;61;71,9;77,9;17;25,8;18,2;10,9;6;18,8;23,4;36,1;52,6;59,5;18,8;4,7;12,7;16,5;6,8;15,6;42,1;57,4;69,7;106,4;15,6;26,4;15,4;12,3;36,7;8,6;11,8;25,5;45,8;56,2;8,6;3,1;13,7;20,3;10,4
11;"SSD-01-RD1";"Schema";"Schema";1;"Wake";"OFA";"19.07.2024";"F";"1:09:00 PM";5;5;NA;NA;NA;NA;10,064;16,036;23,013;27,385;28,213;10,064;5,972;6,977;4,373;0,828;0,168;0,134;0,128;0,114;0,094;0,168;0,1;0,116;0,073;0,014;0;20,8;22,3;22,3;22,3;0;20,8;1,5;0;0;69,9;9,9;19,5;37,3;53,9;57;9,9;9,6;17,8;16,6;3,1;9,8;14,2;29,7;42,4;57,6;57,6;14,2;15,4;12,7;15,2;0;11,9;17,5;27,3;38,4;38,4;11,9;5,5;9,8;11,1;0;20;27,1;47,8;51,4;51,4;20;7,1;20,7;3,6;0;13,9;45,8;62,6;92,7;152,7;13,9;31,9;16,8;30,1;60
12;"SSD-02-BL2";"Schema";"Schema";1;"Wake";"OFA";"19.07.2024";"R";"1:20:00 PM";5;5;NA;NA;NA;NA;11,438;20,263;25,199;28,653;37,349;11,438;8,825;4,936;3,454;8,696;0,191;0,169;0,14;0,119;0,124;0,191;0,147;0,082;0,058;0,145;0;0;1,9;20,6;20,6;0;0;1,9;18,8;0;162,2;11,7;24,4;40;48,7;64,5;11,7;12,6;15,6;8,7;15,8;1,7;10,8;33,4;70,8;123,9;136,2;10,8;22,6;37,4;53,1;12,3;17,4;25;47,6;47,6;63,4;17,4;7,5;22,6;0;15,8;13,4;25,4;25,4;31,8;47;13,4;11,9;0;6,5;15,1;18,3;36,2;36,2;36,7;53,5;18,3;17,9;0;0,4;16,8
13;"SSD-03-BE1";"Schema";"Schema";1;"Wake";"OFA";"09.08.2024";"F";"1:08:00 PM";5;5;NA;NA;NA;NA;7,376;10,811;13,472;16,58;20,34;7,376;3,435;2,66;3,109;3,76;0,123;0,09;0,075;0,069;0,068;0,123;0,057;0,044;0,052;0,063;6;36,2;63,1;73;73;6;30,2;26,9;9,9;0;43,2;17;25,2;32,4;41;46,8;17;8,3;7,1;8,6;5,8;5,1;6,2;9,4;9,4;9,4;15,2;6,2;3,2;0;0;5,8;4,4;5,9;5,9;5,9;6,9;4,4;1,5;0;0;1;16,7;18,2;20,5;20,9;26,9;16,7;1,5;2,4;0,4;6;32,8;86,5;144,2;203,8;251;32,8;53,8;57,6;59,6;47,2
14;"SSD-04-GN1";"Schema";"Schema";1;"Wake";"OFA";"09.08.2024";"B";"1:19:00 PM";5;5;NA;NA;NA;NA;12,339;20,506;28,634;30,661;38,936;12,339;8,168;8,128;2,027;8,275;0,206;0,171;0,159;0,128;0,13;0,206;0,136;0,135;0,034;0,138;0;17,8;23,6;49,7;49,7;0;17,8;5,8;26,1;0;67,3;13,4;27,5;50,2;66,6;99,7;13,4;14,1;22,7;16,4;33,1;5,8;5,5;8,7;15,2;28;35,2;5,5;3,1;6,6;12,8;7,2;13,1;19,9;28,8;28,8;51,9;13,1;6,9;8,9;0;23,1;18,1;59,6;98,5;145,7;158,2;18,1;41,6;38,9;47,2;12,5;23,3;31,8;37,5;37,5;54,7;23,3;8,5;5,7;0;17,2
15;"SSD-05-RD1";"Schema";"Schema";1;"Wake";"OFA";"29.09.2024";"F";"1:04:00 PM";5;5;NA;NA;NA;NA;10,34;12,206;19,761;25,777;29,419;10,34;1,866;7,554;6,016;3,642;0,172;0,102;0,11;0,107;0,098;0,172;0,031;0,126;0,1;0,061;0,3;7;7;7;20;0,3;6,7;0;0;13;31,9;13,3;16;29,4;50,7;67,7;13,3;2,7;13,5;21,2;17;7,9;12,6;12,6;20;32,8;58,1;12,6;0;7,5;12,8;25,3;8,5;8,5;19,5;25;59,7;8,5;0;11,1;5,5;34,7;16,3;26,3;51,9;79,9;79,9;16,3;9,9;25,6;28,1;0;22,6;72,7;88,6;102,3;102,3;22,6;50,1;15,9;13,7;0
16;"SSD-06-BE1";"Schema";"Schema";1;"Wake";"OFA";"29.09.2024";"L";"1:15:00 PM";5;5;NA;NA;NA;NA;8,125;16,972;22,21;27,5;31,979;8,125;8,846;5,238;5,29;4,479;0,135;0,141;0,123;0,115;0,107;0,135;0,147;0,087;0,088;0,075;0;0,7;12,7;12,7;12,7;0;0,7;12;0;0;100,5;10,7;25,6;39,1;49,6;57,4;10,7;14,9;13,5;10,5;7,8;3,3;25,8;32,5;42,5;53;90,1;25,8;6,7;9,9;10,5;37,1;6,7;14,5;38,8;41,9;47,2;6,7;7,8;24,3;3,1;5,3;24,2;53,2;73,7;82,2;99,8;24,2;29;20,5;8,5;17,6;3,3;19,8;25;62,9;62,9;3,3;16,5;5,3;37,9;0
17;"SSD-07-BE1";"Schema";"Schema";1;"Wake";"OFA";"4.10.2024";"R";"1:14:00 PM";5;5;NA;NA;NA;NA;7,254;16,309;22,211;27,216;34,741;7,254;9,055;5,902;5,005;7,525;0,121;0,136;0,123;0,113;0,116;0,121;0,151;0,098;0,083;0,125;6;6,1;6,1;19,5;19,5;6;0,1;0;13,4;0;43;16,1;28,5;45,9;62,8;78,3;16,1;12,4;17,4;16,9;15,5;5,6;12,6;21,5;39,2;48,3;77;12,6;8,9;17,8;9;28,8;2,2;12,4;12,4;43,5;47,6;2,2;10,2;0;31,1;4,1;15,7;45,6;78,2;97,4;112,8;15,7;30;32,6;19,2;15,4;29,6;40,5;50,2;50,8;62,5;29,6;10,9;9,7;0,7;11,7
18;"SSD-08-GN1";"Schema";"Schema";1;"Wake";"OFA";"4.10.2024";"L";"1:25:00 PM";5;5;NA;NA;NA;NA;7,935;15,969;23,261;27,413;31,737;7,935;8,034;7,292;4,152;4,324;0,132;0,133;0,129;0,114;0,106;0,132;0,134;0,122;0,069;0,072;0;7,6;7,6;7,6;7,6;0;7,6;0;0;0;89,7;10,1;20;29,9;38,5;53,9;10,1;9,9;9,9;8,6;15,4;8,1;15,6;32,7;36,3;44,7;47,8;15,6;17,2;3,5;8,4;3,1;15,5;30,3;48,5;56,7;63,9;15,5;14,8;18,2;8,2;7,2;19,2;37,5;55,6;73,8;95;19,2;18,3;18,1;18,2;21,1;9,7;19,4;39,6;64,8;93,3;9,7;9,8;20,2;25,2;28,5
19;"SSD-09-RD1";"Schema";"Schema";1;"Wake";"OFA";"25.10.2024";"B";"1:05:00 PM";5;5;NA;NA;NA;NA;11,022;18,897;24,075;28,278;35,018;11,022;7,875;5,177;4,203;6,74;0,184;0,157;0,134;0,118;0,117;0,184;0,131;0,086;0,07;0,112;0;0;22,9;32,9;32,9;0;0;22,9;10;0;156,5;9,9;21,8;24,7;42,3;61,9;9,9;11,9;2,9;17,7;19,6;4,2;18,4;27,5;27,5;36,1;43,3;18,4;9,1;0;8,6;7,3;8,1;22;22,5;24,9;52;8,1;13,9;0,6;2,4;27;14,5;16,9;34,4;42,4;42,8;14,5;2,4;17,5;8;0,4;19;53,7;95,6;136,6;161,9;19;34,7;42;41;25,3
20;"SSD-10-BE1";"Schema";"Schema";1;"Wake";"OFA";"25.10.2024";"R";"1:16:00 PM";5;5;NA;NA;NA;NA;10,361;19,946;27,011;34,23;41,745;10,361;9,586;7,065;7,219;7,515;0,173;0,166;0,15;0,143;0,139;0,173;0,16;0,118;0,12;0,125;10,7;21;27,5;27,5;27,5;10,7;10,2;6,5;0;0;38,9;6,6;17,5;25,5;41,3;54,5;6,6;11;8;15,8;13,2;6,9;12,7;21,3;24,8;33,3;39,5;12,7;8,6;3,6;8,5;6,2;7,4;20,2;29,6;35,8;52,2;7,4;12,8;9,5;6,1;16,4;29,3;38,5;48,1;90,5;114,3;29,3;9,2;9,6;42,4;23,7;10,6;40;77,4;80,4;94;10,6;29,5;37,3;3;13,6
